,total,missed detection,false alarm,correct,confusion,DER,duration,num_speakers
conversation-61.wav,2820.1999999999957,0.0613250833274242,0.0559396496702373,2527.099999999994,0.0426037160485071,0.1598684490461687,5973.0,5
conversation-69.wav,3829.5999999999954,0.1152775746814271,0.0233421245038646,3062.831000000003,0.0849441194902862,0.2235638186755781,4216.914859,5
conversation-81.wav,4999.399999999982,0.0371500580069608,0.0249953994479342,4634.165999999987,0.0359055086610384,0.0980509661159335,5166.258409,5
conversation-55.wav,5908.19999999998,0.1041631969127653,0.0161959649300967,4691.320999999985,0.1018012254155239,0.2221603872583859,6106.962281,5
conversation-70.wav,2015.2999999999963,0.0429613457053547,0.0199771746142016,1827.0899999999965,0.0504292164938217,0.1133677368133781,2121.101674,4
conversation-65.wav,5459.799999999954,0.0304403091688333,0.0291267079380191,4586.260999999984,0.1295543792812888,0.1891213963881413,5694.153722,5
conversation-59.wav,4036.499999999992,0.0560237829803049,0.0452919608571789,3515.4999999999927,0.0730484330484328,0.1743641768859167,4360.607944,3
conversation-40.wav,4483.699999999975,0.0190177754979142,0.0166828735196379,4097.854999999987,0.067037268327496,0.1027379173450481,4597.790736,3
conversation-79.wav,2686.8999999999937,0.0888533253935758,0.021623432208121,2164.9149999999963,0.1054170233354422,0.2158937809371391,2764.444498,4
conversation-66.wav,5044.899999999985,0.0316531546710527,0.0274655592776853,4351.357000000001,0.1058209280659661,0.1649396420147041,5325.81841,5
conversation-72.wav,244.8,0.0215686274509804,0.0181372549019608,228.22,0.0461601307189542,0.0858660130718955,400.0,6
conversation-67.wav,5250.699999999989,0.044572914087645,0.0285813320128748,4626.419999999996,0.0743217094863536,0.1474759555868735,5519.30804,4
conversation-42.wav,5551.199999999985,0.0283100951145704,0.0257801916702701,5268.674999999992,0.0225843060959776,0.0766745928808182,5788.474726,5
conversation-82.wav,4582.099999999973,0.0234621680015717,0.0154819842430323,3869.36999999999,0.1320844154426979,0.1710285676873019,4667.848277,5
conversation-80.wav,3191.9999999999936,0.0393483709273177,0.0135150375939855,3003.324999999995,0.0197603383458649,0.0726237468671682,3288.419301,5
conversation-57.wav,5895.599999999987,0.0259376484157676,0.0141888866273152,4341.42299999999,0.2376787773933104,0.2778053124363933,6056.42146,5
conversation-41.wav,3882.199999999994,0.0360409046416984,0.0272345577250023,3577.9349999999936,0.0423334707124825,0.1056089330791832,4145.945112,4
conversation-7.wav,2585.399999999997,0.050015471493773,0.0112400402258841,2322.8049999999976,0.0515529511874366,0.1128084629070937,2664.0,6
